iter	RMSE
0	3639.395263
1	3333.261222
2	3057.972072
3	2803.618921
4	2578.151938
5	2374.661514
6	2193.623844
7	2041.287894
8	1892.015238
9	1762.715583
10	1645.666353
11	1540.34513
12	1447.932039
13	1366.340931
14	1287.360033
15	1225.881151
16	1166.682501
17	1115.525203
18	1062.725195
19	1019.625904
20	976.2488198
21	942.38472
22	908.4035942
23	879.5655669
24	852.9969049
25	829.7561596
26	808.014102
27	790.736718
28	774.6409059
29	759.5086873
30	746.1790264
31	733.1688849
32	719.9726787
33	707.4464827
34	698.5544951
35	688.423071
36	681.2029174
37	673.5869897
38	666.287793
39	658.9794829
40	653.8751831
41	648.8644583
42	642.7385107
43	637.6328647
44	634.0331732
45	629.2521889
46	624.6082226
47	620.7331668
48	617.7923024
49	614.6474162
50	611.7988819
51	608.7125778
52	606.3250369
53	603.1198398
54	601.1860917
55	598.7410394
56	596.5737838
57	594.3185129
58	591.2920382
59	589.2413994
60	587.3991695
61	586.1154935
62	583.2388901
63	581.0913733
64	578.7340496
65	577.0453935
66	574.9815329
67	573.5501116
68	571.1240869
69	569.8561931
70	568.5553009
71	566.9277488
72	565.915072
73	565.0959884
74	563.8636913
75	562.862787
76	561.9741076
77	561.035932
78	559.6820871
79	558.6478368
80	557.4888224
81	556.1875381
82	554.8085522
83	553.7603788
84	552.6162817
85	551.9860809
86	551.1418471
87	550.5789088
88	549.1881038
89	547.5758393
90	546.507247
91	545.9831159
92	545.237949
93	543.743348
94	542.8867408
95	542.3410871
96	541.0072942
97	539.7826068
98	538.8883958
99	538.4209184
100	537.6488067
101	536.473777
102	535.8782197
103	534.7843098
104	533.8330019
105	533.1617945
106	532.5301605
107	531.4582097
108	530.3472439
109	529.7631262
110	529.21257
111	528.5221863
112	527.8813546
113	527.3969312
114	526.7738667
115	525.7005453
116	525.2822332
117	524.7812612
118	523.4670054
119	522.2553254
120	521.9410691
121	521.6102006
122	521.2368906
123	520.4196842
124	519.4966983
125	519.0727616
126	518.1041705
127	517.4101101
128	517.0196647
129	516.6549871
130	515.9216458
131	515.1354933
132	514.4312943
133	513.8319173
134	513.3059778
135	512.2558682
136	511.7504162
137	511.2411313
138	510.4837844
139	509.8863424
140	509.1042323
141	508.5446603
142	507.9084117
143	507.3309682
144	506.9569249
145	506.6870951
146	506.1484205
147	505.4172524
148	504.7656135
149	504.4542082
150	503.798202
151	503.3282866
152	503.140888
153	502.6074912
154	501.8680987
155	501.3469418
156	500.9883851
157	500.7627396
158	500.2538779
159	499.5302208
160	499.0065077
161	498.5511693
162	498.0886732
163	497.7229038
164	497.0982132
165	496.4761496
166	496.2197379
167	495.9404467
168	495.3834738
169	494.6336402
170	494.2144035
171	493.981963
172	493.3839631
173	492.6528936
174	491.9947191
175	491.4909709
176	491.046004
177	490.2877655
178	489.947382
179	489.5784403
180	489.1122691
181	488.7381542
182	487.8295525
183	487.4250967
184	487.0884755
185	486.3717167
186	486.1089225
187	485.7776237
188	485.1375001
189	484.8084539
190	484.4262131
191	483.9301439
192	483.4694514
193	482.8612523
194	482.6021708
195	482.2644794
196	482.1440227
197	481.9414776
198	481.7118921
199	481.1869722
