iter	Passed	Remaining
0	7	1493
1	14	1398
2	21	1437
3	28	1414
4	35	1388
5	42	1384
6	49	1363
7	56	1354
8	63	1342
9	69	1327
10	77	1334
11	84	1323
12	91	1317
13	98	1308
14	105	1302
15	112	1292
16	119	1281
17	126	1276
18	132	1263
19	139	1258
20	146	1249
21	153	1239
22	159	1230
23	166	1220
24	173	1216
25	180	1206
26	187	1200
27	194	1192
28	200	1184
29	207	1178
30	214	1168
31	221	1162
32	227	1153
33	234	1144
34	241	1138
35	248	1130
36	254	1123
37	261	1113
38	268	1109
39	275	1103
40	283	1099
41	290	1092
42	297	1085
43	303	1077
44	310	1070
45	317	1064
46	324	1055
47	331	1049
48	338	1043
49	345	1035
50	352	1029
51	359	1022
52	366	1017
53	373	1010
54	379	1001
55	387	996
56	394	988
57	400	981
58	408	975
59	415	969
60	423	964
61	430	957
62	437	951
63	444	943
64	450	936
65	457	928
66	463	920
67	470	913
68	476	905
69	484	898
70	490	892
71	498	885
72	504	878
73	511	870
74	518	864
75	525	857
76	532	850
77	538	842
78	545	836
79	552	828
80	559	821
81	566	815
82	573	808
83	579	800
84	586	793
85	593	786
86	600	780
87	606	772
88	613	764
89	620	758
90	626	750
91	633	743
92	639	736
93	646	728
94	653	721
95	659	714
96	666	707
97	672	699
98	679	693
99	685	685
100	692	678
101	699	671
102	705	664
103	712	657
104	719	651
105	726	644
106	733	637
107	740	630
108	746	623
109	753	616
110	759	609
111	766	602
112	773	595
113	781	589
114	788	582
115	795	576
116	802	569
117	809	562
118	816	555
119	822	548
120	829	541
121	836	535
122	843	528
123	850	521
124	856	514
125	864	507
126	870	500
127	877	493
128	884	486
129	890	479
130	897	472
131	904	465
132	911	459
133	918	452
134	924	445
135	931	438
136	938	431
137	944	424
138	951	417
139	958	410
140	965	403
141	971	396
142	978	389
143	985	383
144	992	376
145	998	369
146	1005	362
147	1012	355
148	1019	348
149	1025	341
150	1032	335
151	1039	328
152	1046	321
153	1052	314
154	1059	307
155	1066	300
156	1072	293
157	1079	286
158	1086	280
159	1092	273
160	1099	266
161	1106	259
162	1113	252
163	1119	245
164	1127	239
165	1134	232
166	1140	225
167	1147	218
168	1153	211
169	1160	204
170	1166	197
171	1173	191
172	1181	184
173	1188	177
174	1195	170
175	1202	163
176	1208	157
177	1215	150
178	1221	143
179	1228	136
180	1235	129
181	1241	122
182	1248	116
183	1255	109
184	1262	102
185	1269	95
186	1275	88
187	1282	81
188	1289	75
189	1297	68
190	1303	61
191	1311	54
192	1317	47
193	1325	40
194	1332	34
195	1339	27
196	1345	20
197	1352	13
198	1359	6
199	1365	0
